growth_form,species_id,scientific_name,common_name
grass,RPenSetRu,Pennisetum setaceum 'Rubrum',Red Fountain Grass
flower_herbaceous,FPenPar,Penstemon Parryi,Parry Penstemon
flower_herbaceous,FPenSup,Penstemon superbus,Coral Penstemon
flower_herbaceous,FPetHyb,Petunia x hybrida,Petunia
shrub,SPhiCor,Philadelphus coronarius,Variegated Mock Orange
tree,TPhoCan,Phoenix canariensis,pineapple palm
tree,TPhoDac,Phoenix dactylifera,date palm
tree,TPhoRoe,Phoenix roebelenii,pygmy date palm
tree,Tpin,Pinus,Unknown Pine
tree,TPinCan,Pinus canariensis,Canary Island Pine 
tree,TPinHal,Pinus halepensis,
tree,TPinPin,Pinus Pinea,Italian Stone Pine
tree,TPisChi,Pistachia chinesis,Chinese Pistache
tree,TPisLen,Pistachia lentiscus,"Evergreen Pistache, Mastic Tree"
tree,TPitFle,Pithecolobium flexicaule,texas ebony
shrub,SPitTob,Pittosporaceam tobria,Pittosporum-Mock Orange: looks like a Carissa but with small white flowers in the center of the star of dark green blunt leaves
tree,TPlaWri,Platanus wrightii,Arizona Sycamore
shrub,SPluAur,Plumbago auriculata,Plumbago
shrub,Splu,Plumeria,Plumeria (unknown)
tree,Tpop,Populus,Poplar; Cottonwood; Aspen (Unknown)
tree,TPopDel,Populus deltoides,Eastern Cottonwood
tree,TPopNig,Populus nigra,Lombardy Poplar
cacti_succulent,CPorAfr,Portulacaria afra,Elephant's Food
tree,Tpro,Prosopis,Mesquite (Species Unknown)
tree,TProAlb,Prosopis alba,Argentine Mesquite
tree,TProChi,Prosopis chilensis,Chilean mesquite
tree,TProGla,Prosopis glandulosa,Honey Mesquite
tree,TProVel,Prosopis velutina,Velvet Mesquite
tree,TPruCer,Prunus cerasifera,Purple Plum
tree,TPruPer,Prunus persica,Peach Tree
shrub,SPunGra,Punica granatum,Pomegranate Bush
shrub,SPyrCoc,Pyracantha coccinea,Pyracantha
tree,TQue,Quercus,Oak (Unknown)
tree,TQueAri,Quercus arizonica,Arizona White Oak
tree,TQueEmo,Quercus emoryi,Emory Oak
tree,TRhaBet,Rhamnus betulaefolia,Birchleaf Buckthorn
shrub,SRhaInd,Rhaphiolepis indica,Indian Hawthorne
tree,TRhuLan,Rhus lancea,African sumac
shrub,SRhuOva,Rhus Ovata,Sugar bush
tree,TRhuVir,Rhus virens,Smooth Sumac
tree,TRobPse,Robina Pseudoacacia,Black Locust
shrub,SRos,Rosa,John F Kennedy / Species Unknown
shrub,SRosBan,Rosa banksiae,Lady Banks Rose
shrub,SRosOff,Rosmarinus officinalis,Rosemary
